customer_id,recency,frequency,monetary
1,11,5,3282.44
2,294,31,3351.88
3,88,49,3864.55
4,62,54,933.17
5,80,49,1328.58
6,210,22,3545.51
7,283,54,1052.37
8,168,79,3191.9
9,346,40,2672.16
10,251,49,4284.37
11,349,17,284.54
12,327,59,3791.49
13,200,64,100.2
14,246,77,3494.42
15,213,75,762.93
16,165,38,4648.09
17,39,57,2604.84
18,36,13,2566.47
19,35,72,900.84
20,317,75,914.54
21,178,8,1565.95
22,350,50,3320.97
23,231,43,2368.57
24,176,35,2667.19
25,362,74,4329.47
26,24,48,4885.44
27,291,39,4679.58
28,148,3,3454.83
29,312,53,2813.3
30,241,63,4698.06
31,276,68,300.8
32,322,25,2725.37
33,153,63,597.56
34,66,45,1251.85
35,304,71,3169.94
36,151,16,4344.08
37,334,70,3769.44
38,181,46,1063.63
39,7,20,2692.81
40,176,69,201.43
41,20,53,1004.77
42,24,57,815.84
43,96,15,3059.52
44,150,61,3418.44
45,311,45,4811.32
46,179,4,623.29
47,159,47,3429.42
48,223,77,3517.86
49,221,10,430.08
50,308,21,2618.28
51,142,41,3071.58
52,295,47,2142.71
53,233,65,2472.23
54,204,15,3472.29
55,6,35,3483.47
56,3,70,4116.9
57,6,16,3375.61
58,301,1,1258.91
59,4,55,4395.63
60,151,18,1355.51
61,5,66,366.54
62,164,76,848.33
63,12,48,3874.77
64,14,24,1029.74
65,117,9,3966.79
66,20,7,3638.75
67,332,80,976.7
68,53,29,2274.34
69,250,7,3687.21
70,283,36,524.7
71,43,42,3176.98
72,306,10,4927.11
73,124,49,928.53
74,17,72,4606.65
75,321,6,511.77
76,288,49,4447.26
77,308,23,1778.03
78,2,29,3617.8
79,340,75,590.77
80,238,10,2587.31
81,306,78,2379.32
82,264,74,2537.83
83,86,23,2148.64
84,23,66,4421.85
85,97,26,698.88
86,64,12,3215.28
87,185,69,3658.15
88,241,33,1440.91
89,163,3,4624.75
90,97,34,4206.71
91,271,51,813.69
92,273,42,99.22
93,348,19,4263.09
94,329,8,3459.26
95,281,48,3678.88
96,271,69,2089.89
97,190,19,1938.98
98,189,28,2593.65
99,303,4,918.99
100,261,80,4711.92
101,241,78,4564.04
102,223,38,1207.06
103,28,16,1682.49
104,258,39,4531.45
105,319,36,2273.07
106,10,32,1694.06
107,87,28,846.2
108,32,43,2300.2
109,276,34,3937.26
110,255,64,2677.73
111,308,5,3389.83
112,107,7,4670.81
113,349,57,3986.52
114,110,21,2218.2
115,108,18,3004.38
116,260,32,2269.14
117,138,44,3499.26
118,315,14,1833.88
119,271,48,4085.37
120,168,31,3450.19
121,45,25,488.19
122,71,72,4749.31
123,231,43,114.58
124,70,64,451.16
125,6,43,3606.2
126,253,69,4298.97
127,66,3,826.88
128,182,54,4605.2
129,102,65,3460.23
130,313,27,2351.23
131,310,72,3939.37
132,200,54,432.71
133,316,9,389.38
134,139,20,1318.56
135,32,47,2214.63
136,202,66,3740.59
137,198,42,345.72
138,198,46,4554.9
139,322,43,528.73
140,353,27,1594.78
141,349,29,4043.19
142,174,75,4436.76
143,311,77,3052.73
144,30,51,3502.1
145,136,6,351.41
146,191,36,2279.57
147,271,14,2110.09
148,82,46,1755.36
149,31,16,4701.88
150,267,71,3427.94
151,311,40,4301.37
152,307,54,3389.31
153,1,61,4342.79
154,5,59,1867.63
155,264,29,3451.06
156,132,25,3236.68
157,353,37,434.05
158,237,33,3783.37
159,236,28,1484.36
160,1,79,4854.14
161,87,78,277.11
162,2,35,1068.6
163,10,42,515.69
164,324,12,377.31
165,200,4,3496.24
166,215,58,211.79
167,212,49,630.92
168,82,80,4899.28
169,47,38,2357.62
170,13,45,4152.57
171,234,24,3300.6
172,111,79,1085.84
173,174,40,690.12
174,9,56,1484.9
175,237,12,2430.58
176,193,44,1642.49
177,103,43,929.98
178,323,60,3276.7
179,3,9,3435.66
180,159,59,603.67
181,190,80,981.47
182,34,1,1895.84
183,263,48,191.45
184,219,43,3226.87
185,82,21,4065.17
186,337,13,3933.4
187,37,25,258.74
188,29,11,3321.75
189,70,33,3140.03
190,45,5,940.46
191,358,28,3678.43
192,309,15,1125.5
193,64,51,448.13
194,140,63,883.48
195,204,44,4222.71
196,342,33,3371.25
197,63,69,2674.86
198,23,30,2863.56
199,307,3,412.93
200,129,20,248.14
